2026-05-15 07:47:21.038 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 24 seconds
2026-05-15 07:47:21.582 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 24 seconds
2026-05-15 07:47:23.241 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 22 seconds
2026-05-15 07:47:23.772 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 21 seconds
2026-05-15 07:47:25.448 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 20 seconds
2026-05-15 07:47:25.972 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 19 seconds
2026-05-15 07:47:27.688 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 17 seconds
2026-05-15 07:47:28.332 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 17 seconds
2026-05-15 07:47:29.859 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 15 seconds
2026-05-15 07:47:30.507 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 15 seconds
2026-05-15 07:47:32.036 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 13 seconds
2026-05-15 07:47:32.698 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 12 seconds
2026-05-15 07:47:34.218 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 11 seconds
2026-05-15 07:47:34.877 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 10 seconds
2026-05-15 07:47:36.454 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 9 seconds
2026-05-15 07:47:41.889 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Timed out
2026-05-15 07:47:43.773 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Timed out
2026-05-15 07:48:11.202 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 34 seconds
2026-05-15 07:48:13.925 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 31 seconds
2026-05-15 07:48:14.000 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 31 seconds
2026-05-15 07:48:16.125 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 29 seconds
2026-05-15 07:48:16.172 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 29 seconds
2026-05-15 07:48:18.299 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 27 seconds
2026-05-15 07:48:18.370 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 27 seconds
2026-05-15 07:48:20.508 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 25 seconds
2026-05-15 07:48:21.411 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 24 seconds
2026-05-15 07:48:22.714 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 22 seconds
2026-05-15 07:48:23.686 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 21 seconds
2026-05-15 07:48:24.985 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 20 seconds
2026-05-15 07:48:26.857 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 18 seconds
2026-05-15 07:48:27.202 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 18 seconds
2026-05-15 07:48:29.121 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 16 seconds
2026-05-15 07:48:29.483 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 16 seconds
2026-05-15 07:48:32.170 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 13 seconds
2026-05-15 07:48:32.308 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 13 seconds
2026-05-15 07:48:34.452 | ERROR    | telegram_bot.bot:send_message:123 - [TelegramBot] Send failed: Flood control exceeded. Retry in 11 seconds
